model,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,fit_time_mean,score_time_mean
SVM-RBF,0.8662468646838745,0.001474731202178281,0.8550365524314743,0.006675474916851157,0.5860466957092285,0.3093930721282959
LogisticRegression,0.8514537566560734,0.0019187922902414122,0.8493037769360946,0.007807799240221663,0.04009037017822266,0.0013148784637451172
KNN,0.8823198678291387,0.0018059557598007969,0.8340494454899975,0.006384506869292094,0.004243707656860352,0.06381263732910156
DecisionTree,0.9854371363897109,0.0005145882747846502,0.8141892299121475,0.004541198715116412,0.019527435302734375,0.0014449596405029298
Dummy-most_frequent,0.7607493874291938,5.3866996440278687e-05,0.7607494126297573,0.00021543332204345636,0.0020096302032470703,0.0008621692657470703
GaussianNB,0.3097871906994369,0.004176479941972579,0.3081481865811776,0.010497897787058279,0.005774211883544922,0.001502847671508789
